UNIQUE,MT,HUMIDITY,WIND SPEED,MEANPRESSURE
1,12.07476959,73.02880184,4.83391321,1017.847734
2,16.86755952,71.93856293,7.474090136,1015.946003
3,22.81420891,57.4172427,8.757269585,1011.733909
4,28.89511905,34.61210317,8.046384921,1006.292341
5,33.77676651,28.93824885,8.943452381,999.9241935
6,32.48087302,58.75813492,9.593928571,997.4088492
7,30.66359447,74.8733871,7.358698157,997.3802995
8,29.54777266,76.75710445,7.384347158,1000.439977
9,29.84059524,64.5527381,7.593424603,1003.949167
10,26.12918587,70.25560676,2.836109831,1009.848848
11,18.81170635,66.24595238,4.252242063,1015.353175
12,15.17933948,79.1344086,4.986002304,1016.141129
